Time,RecordTime,Trigger,Timecode,D3 Time,LX Cue,D3 Cue
21:49.04,NO,D3,00:00:00:00,00:38:51.00,1/350,CUE:380
21:49.05,NO,D3,00:00:00:00,00:38:44.00,1/350,CUE:350
21:49.05,NO,D3,00:00:00:00,00:38:45.00,1/350,CUE:346
21:49.34,NO,D3,00:00:00:00,00:39:42.00,1/350,CUE:350
21:49.36,NO,D3,00:00:00:00,00:39:45.00,1/350,CUE:380
21:50.35,NO,D3,00:00:00:00,00:39:44.00,1/350,CUE:380
21:50.36,NO,D3,00:00:00:00,00:39:45.00,1/350,CUE:380
21:56.07,NO,LX,00:00:00:00,00:42:15.00,1/456,
21:56.21,NO,LX,00:00:00:00,00:42:15.00,1/458,
21:56.23,NO,LX,00:00:00:00,00:42:15.00,1/456,
21:56.23,NO,LX,00:00:00:00,00:42:15.00,1/356,
22:03.10,NO,LX,00:00:00:00,00:39:46.08,1/456,
22:03.11,NO,LX,00:00:00:00,00:39:46.08,1/360,
22:03.11,NO,LX,00:00:00:00,00:39:46.08,1/358,
22:03.11,NO,LX,00:00:00:00,00:39:46.08,1/360,
22:03.11,NO,LX,00:00:00:00,00:39:46.08,1/456,
22:03.16,NO,LX,00:00:00:00,00:39:46.08,1/360,
22:03.51,NO,D3,00:00:00:00,00:40:15.00,1/360,CUE:380
22:03.54,NO,D3,00:00:00:00,00:40:15.00,1/360,CUE:380
22:05.59,NO,LX,00:00:00:00,00:40:45.00,1/456,
22:06.00,NO,LX,00:00:00:00,00:40:45.00,1/362,
22:06.27,NO,LX,00:00:00:00,00:40:45.00,1/456,
22:06.38,NO,LX,00:00:00:00,00:40:45.00,1/362,
22:07.30,NO,LX,00:00:00:00,00:40:45.00,1/362,
22:07.40,NO,LX,00:00:00:00,00:40:45.00,1/456,
22:08.55,NO,LX,00:00:00:00,00:41:15.00,1/364,
22:11.11,NO,D3,00:00:00:00,00:43:45.07,1/364,CUE:380
22:11.13,NO,D3,00:00:00:00,00:43:26.00,1/364,End:
22:12.19,NO,LX,00:00:00:00,00:39:45.00,1/458,
22:14.16,NO,LX,00:00:00:00,00:41:15.00,1/364,
22:14.18,NO,LX,00:00:00:00,00:41:15.00,1/458,
22:14.39,NO,LX,00:00:00:00,00:41:15.00,1/364,
22:14.40,NO,LX,00:00:00:00,00:41:15.00,1/366,
22:15.43,NO,LX,00:00:00:00,00:43:15.00,1/466,
22:15.43,NO,LX,00:00:00:00,00:43:15.00,1/366,
